wave_length,x_pixels,y_pixels,z_pixels
580,365.84516666666667,720.0481666666667,34.2065
580,368.291,719.7738333333333,34.091
580,367.3168333333333,719.1268333333334,33.8325
580,367.2683333333333,719.5195,34.282000000000004
580,367.2416666666667,719.5509999999999,35.05716666666667
580,367.4695,719.4915,34.60066666666667
580,367.523,719.309,33.826499999999996
580,367.0303333333333,719.6365000000001,33.191833333333335
580,366.99399999999997,719.6863333333333,34.65233333333333
580,366.9771666666667,719.1328333333333,34.70916666666667
580,367.2525,719.4171666666666,33.88283333333333
580,366.9938333333333,719.5578333333334,34.495
580,366.69350000000003,719.7656666666667,34.64033333333334
580,366.5251666666666,719.4088333333333,33.531333333333336
580,367.12166666666667,719.6428333333333,35.227666666666664
580,366.87183333333337,719.777,34.491499999999995
580,367.3243333333333,719.052,33.94133333333333
580,367.47166666666664,719.0543333333334,33.59133333333333
580,367.51283333333333,719.2261666666667,34.326
580,366.3636666666667,719.2885,32.957
580,365.48333333333335,721.0771666666666,31.633666666666667
580,366.1691666666667,719.5823333333334,34.140166666666666
580,366.14433333333335,719.2028333333333,33.443666666666665
580,366.5561666666666,719.4461666666666,33.45766666666667
580,366.26616666666666,719.5683333333333,33.6475
580,372.13883333333337,721.955,40.51883333333333
580,365.66083333333336,719.8833333333333,35.23116666666667
580,365.273,720.1535,34.86216666666667
580,365.62916666666666,719.9473333333333,34.54566666666666
580,364.84066666666666,721.2401666666667,35.21516666666666
580,368.23516666666666,718.3868333333334,34.163333333333334
580,367.5726666666667,718.7855,35.85183333333334
580,364.5065,721.993,31.42
580,372.2691666666667,721.9346666666667,40.642500000000005
580,365.85433333333333,719.7231666666667,33.123666666666665
580,368.31566666666663,715.7291666666666,35.63133333333334
580,364.63050000000004,719.678,31.017333333333333
580,365.4426666666667,719.7951666666667,34.34
580,365.36133333333333,719.7194999999999,34.19383333333334
580,363.3096666666667,722.253,29.46516666666667
580,363.5023333333333,722.3393333333333,29.029166666666665
580,362.20533333333333,721.8303333333333,31.497666666666664
580,366.1446666666667,716.4449999999999,36.0995
580,366.3236666666666,716.7588333333333,35.611
580,366.1316666666667,716.474,34.717999999999996
580,366.065,716.3503333333333,36.10216666666667
580,366.01800000000003,716.5145,35.67100000000001
580,365.5063333333334,719.763,33.662166666666664
580,366.4978333333333,720.1266666666667,31.830333333333332
580,365.7941666666667,719.7294999999999,33.75
580,365.69983333333334,719.5365,34.048
580,367.68833333333333,720.0773333333333,32.19566666666667
580,365.51,719.293,33.8885
580,363.96666666666664,720.6718333333333,33.7495
580,365.85033333333337,719.5026666666668,34.941833333333335
580,365.87166666666667,719.6278333333333,34.18233333333333
580,363.46816666666666,722.1061666666667,29.451
580,365.60516666666666,719.633,36.62316666666666
580,362.30266666666665,721.4941666666667,32.55266666666667
580,367.5075,719.0238333333333,32.59133333333333
580,367.94283333333334,719.1878333333333,32.5535
580,367.52966666666663,719.3003333333332,32.457166666666666
580,368.3411666666667,718.8178333333333,33.472
580,368.17083333333335,718.7506666666667,33.258833333333335
580,367.8138333333334,718.9648333333333,33.128166666666665
580,365.4051666666667,719.7053333333333,33.3135
580,365.70750000000004,719.297,32.98883333333333
580,365.80783333333335,719.1963333333333,33.902833333333334
580,365.6588333333333,719.2406666666667,33.7095
580,363.4691666666667,722.0841666666668,29.966666666666665
580,367.95550000000003,718.8068333333334,34.33133333333333
580,368.0253333333333,719.1993333333334,33.29966666666667
670,369.9696666666667,717.7091666666668,35.991166666666665
670,370.29516666666666,717.3418333333334,35.33633333333333
670,370.4008333333333,717.9438333333333,37.51016666666667
670,368.22183333333334,718.5381666666667,35.5345
670,368.29966666666667,718.5051666666666,35.7795
670,368.14950000000005,718.7448333333334,35.425333333333334
670,368.909,717.5608333333333,37.56016666666667
670,371.723,716.6006666666667,38.80883333333333
670,369.6361666666666,717.4911666666667,38.777833333333334
670,368.4278333333333,718.4658333333333,37.36183333333334
670,368.85783333333336,715.0156666666667,36.56883333333334
670,369.45233333333334,714.6095,36.41833333333333
670,369.3508333333333,715.3498333333333,37.37433333333333
